music_id,artist_names,track_name,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
1,Jimin,Who,117.45,-44.75,0.2402999997138977,0.5365999937057495,0.1124,0.08,2758.92
2,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),123.05,-46.5,0.24979999661445618,0.5590999722480774,0.1119,0.09,2693.09
3,Jimin,Be Mine,99.38,-44.87,0.26429998874664307,0.5769000053405762,0.0926,0.07,2507.24
4,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),78.3,-52.68,0.1889999955892563,0.4934000074863434,0.0508,0.05,1381.32
5,Jin,Running Wild,143.55,-46.6,0.24959999322891235,0.6341000199317932,0.0723,0.04,2109.8
6,"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco),95.7,-44.34,0.2476000040769577,0.5321000218391418,0.0839,0.05,2129.27
7,"Jimin, Sofia Carson",Slow Dance (feat. Sofia Carson),86.13,-45.89,0.2563000023365021,0.5774999856948853,0.083,0.06,2223.57
8,ROSÉ,toxic till the end,112.35,-40.65,0.2418999969959259,0.4668000042438507,0.1146,0.08,2822.67
9,Jimin,Closer Than This,89.1,-49.55,0.23999999463558197,0.5825999975204468,0.0655,0.05,1873.4
10,Jimin,Rebirth (Intro),86.13,-39.77,0.29589998722076416,0.4957999885082245,0.1094,0.06,2622.25
11,aespa,Whiplash,123.05,-42.84,0.36739999055862427,0.6309000253677368,0.0858,0.07,2438.54
12,"ROSÉ, Bruno Mars",APT.,152.0,-40.41,0.25940001010894775,0.49219998717308044,0.1121,0.07,2665.15
13,"G-DRAGON, TAEYANG, DAESUNG",HOME SWEET HOME (feat. TAEYANG & DAESUNG),152.0,-41.11,0.2734000086784363,0.5056999921798706,0.0993,0.06,2659.76
14,Jimin,Interlude : Showtime,92.29,-45.52,0.22579999268054962,0.5776000022888184,0.0766,0.05,1818.15
15,Jimin,Who (Acoustic Remix),112.35,-43.49,0.22529999911785126,0.3889999985694885,0.0763,0.05,1998.54
16,Jimin,Who (Rock Remix),117.45,-37.14,0.26499998569488525,0.45980000495910645,0.1417,0.06,3119.36
17,Jimin,Who (Funky Remix),117.45,-43.0,0.26339998841285706,0.5198000073432922,0.1266,0.08,2869.68
18,Jimin,Who (Shibuyakei Remix),117.45,-39.44,0.2644999921321869,0.5116000175476074,0.1139,0.06,2809.43
19,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),107.67,-45.0,0.271699994802475,0.6323000192642212,0.1222,0.09,2934.56
20,"Kendrick Lamar, SZA",luther (with sza),136.0,-55.14,0.1370999962091446,0.48249998688697815,0.0687,0.06,1893.21
21,Jin,I’ll Be There,152.0,-38.35,0.3375999927520752,0.539900004863739,0.1063,0.06,2639.59
22,Jimin,Who (Beautiful Mind Remix),107.67,-44.14,0.27459999918937683,0.6568999886512756,0.1318,0.08,3079.7
23,Jimin,Who (Instrumental),117.45,-50.74,0.2434999942779541,0.5972999930381775,0.0758,0.07,2111.75
24,Jimin,Like Crazy,117.45,-42.21,0.271699994802475,0.5390999913215637,0.0956,0.06,2553.14
25,"Lady Gaga, Bruno Mars",Die With A Smile,161.5,-44.56,0.15299999713897705,0.38670000433921814,0.0988,0.05,2188.59
26,Jung Kook,Standing Next to You,107.67,-42.33,0.24469999969005585,0.5098999738693237,0.1093,0.06,2588.31
27,DAY6,HAPPY,161.5,-35.28,0.30889999866485596,0.4794999957084656,0.1251,0.05,2717.88
28,BABYMONSTER,DRIP,117.45,-44.49,0.23919999599456787,0.5580999851226807,0.0951,0.06,2364.37
29,ILLIT,Magnetic,129.2,-46.33,0.20239999890327454,0.428600013256073,0.1137,0.11,2648.09
30,aespa,UP - KARINA Solo,99.38,-42.91,0.29910001158714294,0.5992000102996826,0.0941,0.07,2741.11
31,G-DRAGON,CROOKED,129.2,-37.5,0.298799991607666,0.5486999750137329,0.1352,0.08,2994.07
32,G-DRAGON,POWER,92.29,-42.14,0.25760000944137573,0.5296000242233276,0.1078,0.07,2539.87
33,G-DRAGON,"무제(無題) (Untitled, 2014)",80.75,-46.82,0.19670000672340393,0.4291999936103821,0.0829,0.07,1619.79
34,Billie Eilish,BIRDS OF A FEATHER,103.36,-51.7,0.22840000689029694,0.5511999726295471,0.0495,0.05,1722.38
35,ILLIT,Cherish (My Love),143.55,-45.95,0.22830000519752502,0.5425999760627747,0.0915,0.06,2326.19
36,aespa,Supernova,117.45,-43.6,0.28380000591278076,0.6258999705314636,0.0953,0.07,2495.43
37,BIGBANG,BANG BANG BANG,136.0,-40.27,0.2809999883174896,0.5651000142097473,0.1038,0.06,2506.58
38,Lim Young Woong,Warmth,64.6,-49.12,0.21940000355243683,0.5637999773025513,0.068,0.06,1706.19
39,DAY6,한 페이지가 될 수 있게 Time of Our Life,172.27,-38.03,0.13230000436306,0.26660001277923584,0.1476,0.06,3103.88
40,Lim Young Woong,Home,129.2,-39.37,0.18230000138282776,0.39489999413490295,0.1159,0.06,2576.24
41,Lim Young Woong,Grain of Sand,129.2,-47.99,0.23469999432563782,0.45419999957084656,0.0437,0.03,1348.22
42,NewJeans,Supernatural,107.67,-41.42,0.2775999903678894,0.5440000295639038,0.0992,0.06,2547.1
43,KISS OF LIFE,Igloo,143.55,-48.42,0.1817999929189682,0.41999998688697815,0.0967,0.09,2435.75
44,ROSÉ,number one girl,58.73,-43.62,0.16680000722408295,0.3684999942779541,0.0882,0.06,2132.46
45,Lim Young Woong,Do or Die,123.05,-37.83,0.23160000145435333,0.447299987077713,0.12,0.06,2956.59
46,NewJeans,How Sweet,123.05,-43.96,0.23819999396800995,0.5827999711036682,0.1595,0.1,3332.43
47,fromis_9,Supersonic,92.29,-41.05,0.2567000091075897,0.4984999895095825,0.1066,0.07,2661.36
48,QWER,My Name is Malguem,73.83,-40.12,0.25690001249313354,0.4595000147819519,0.1135,0.05,2635.6
49,Lim Young Woong,London Boy,89.1,-39.06,0.31679999828338623,0.5436000227928162,0.1131,0.06,2325.66
50,"HAON, GISELLE",Skrr (feat. GISELLE),117.45,-54.6,0.2232999950647354,0.7092999815940857,0.0725,0.08,2022.31
51,BIGBANG,Still Life,117.45,-42.22,0.2524999976158142,0.5454000234603882,0.0907,0.06,2190.71
52,ILLIT,Tick-Tack,129.2,-47.67,0.22010000050067902,0.5277000069618225,0.1171,0.09,2656.4
53,WOODZ,Drowning,112.35,-42.68,0.266400009393692,0.5978000164031982,0.1194,0.06,2530.81
54,aespa,Armageddon,92.29,-40.79,0.29820001125335693,0.5321000218391418,0.095,0.05,2220.12
55,NewJeans,Ditto,136.0,-43.62,0.22030000388622284,0.4609000086784363,0.0927,0.06,2619.19
