music_id,artist_names,track_name,genre,track_length_sec,release_country,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
1,Jimin,Who,K-Pop,170.888,USA,117.45,-44.75,0.2402999997138977,0.5365999937057495,0.1124,0.08,2758.92
2,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),K-Pop,185.295,USA,123.05,-46.5,0.2497999966144561,0.5590999722480774,0.1119,0.09,2693.09
3,Jimin,Be Mine,K-Pop,207.348,USA,99.38,-44.87,0.264299988746643,0.5769000053405762,0.0926,0.07,2507.24
4,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),K-Pop,234.895,USA,78.3,-52.68,0.1889999955892563,0.4934000074863434,0.0508,0.05,1381.32
5,Jin,Running Wild,K-Pop,151.647,USA,143.55,-46.6,0.2495999932289123,0.6341000199317932,0.0723,0.04,2109.8
6,"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco),K-Pop,182.841,USA,95.7,-44.34,0.2476000040769577,0.5321000218391418,0.0839,0.05,2129.27
7,"Jimin, Sofia Carson",Slow Dance (feat. Sofia Carson),K-Pop,188.4,USA,86.13,-45.89,0.2563000023365021,0.5774999856948853,0.083,0.06,2223.57
8,ROSÉ,toxic till the end,Pop,156.686,USA,112.35,-40.65,0.2418999969959259,0.4668000042438507,0.1146,0.08,2822.67
9,Jimin,Closer Than This,K-Pop,223.302,USA,89.1,-49.55,0.2399999946355819,0.5825999975204468,0.0655,0.05,1873.4
10,Jimin,Rebirth (Intro),K-Pop,144.624,USA,86.13,-39.77,0.2958999872207641,0.4957999885082245,0.1094,0.06,2622.25
11,aespa,Whiplash,K-Pop,183.227,USA,123.05,-42.84,0.3673999905586242,0.6309000253677368,0.0858,0.07,2438.54
12,"ROSÉ, Bruno Mars",APT.,Pop,169.917,USA,152.0,-40.41,0.2594000101089477,0.4921999871730804,0.1121,0.07,2665.15
13,"G-DRAGON, TAEYANG, DAESUNG",HOME SWEET HOME (feat. TAEYANG & DAESUNG),K-Pop,211.331,USA,152.0,-41.11,0.2734000086784363,0.5056999921798706,0.0993,0.06,2659.76
14,Jimin,Interlude : Showtime,K-Pop,78.492,USA,92.29,-45.52,0.2257999926805496,0.5776000022888184,0.0766,0.05,1818.15
15,Jimin,Who (Acoustic Remix),K-Pop,184.076,USA,112.35,-43.49,0.2252999991178512,0.3889999985694885,0.0763,0.05,1998.54
16,Jimin,Who (Rock Remix),K-Pop,171.995,USA,117.45,-37.14,0.2649999856948852,0.4598000049591064,0.1417,0.06,3119.36
17,Jimin,Who (Funky Remix),K-Pop,188.498,USA,117.45,-43.0,0.263399988412857,0.5198000073432922,0.1266,0.08,2869.68
18,Jimin,Who (Shibuyakei Remix),K-Pop,166.809,USA,117.45,-39.44,0.2644999921321869,0.5116000175476074,0.1139,0.06,2809.43
19,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),K-Pop,202.046,USA,107.67,-45.0,0.271699994802475,0.6323000192642212,0.1222,0.09,2934.56
20,"Kendrick Lamar, SZA",luther (with sza),Hip-Hop/Rap,177.599,USA,136.0,-55.14,0.1370999962091446,0.4824999868869781,0.0687,0.06,1893.21
21,Jin,I’ll Be There,K-Pop,181.678,USA,152.0,-38.35,0.3375999927520752,0.539900004863739,0.1063,0.06,2639.59
22,Jimin,Who (Beautiful Mind Remix),K-Pop,177.954,USA,107.67,-44.14,0.2745999991893768,0.6568999886512756,0.1318,0.08,3079.7
23,Jimin,Who (Instrumental),K-Pop,170.888,USA,117.45,-50.74,0.2434999942779541,0.5972999930381775,0.0758,0.07,2111.75
24,Jimin,Like Crazy,K-Pop,212.241,USA,117.45,-42.21,0.271699994802475,0.5390999913215637,0.0956,0.06,2553.14
25,"Lady Gaga, Bruno Mars",Die With A Smile,Pop,251.668,USA,161.5,-44.56,0.152999997138977,0.3867000043392181,0.0988,0.05,2188.59
26,Jung Kook,Standing Next to You,K-Pop,206.02,USA,107.67,-42.33,0.2446999996900558,0.5098999738693237,0.1093,0.06,2588.31
27,DAY6,HAPPY,K-Pop,189.934,USA,161.5,-35.28,0.3088999986648559,0.4794999957084656,0.1251,0.05,2717.88
