artist_names,track_name,genre,track_length_sec,release_country
Jimin,Who,K-Pop,170.888,USA
"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),K-Pop,185.295,USA
Jimin,Be Mine,K-Pop,207.348,USA
"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),K-Pop,234.895,USA
Jin,Running Wild,K-Pop,151.647,USA
"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco),K-Pop,182.841,USA
"Jimin, Sofia Carson",Slow Dance (feat. Sofia Carson),K-Pop,188.4,USA
ROSÉ,toxic till the end,Pop,156.686,USA
Jimin,Closer Than This,K-Pop,223.302,USA
Jimin,Rebirth (Intro),K-Pop,144.624,USA
aespa,Whiplash,K-Pop,183.227,USA
"ROSÉ, Bruno Mars",APT.,Pop,169.917,USA
"G-DRAGON, TAEYANG, DAESUNG",HOME SWEET HOME (feat. TAEYANG & DAESUNG),K-Pop,211.331,USA
Jimin,Interlude : Showtime,K-Pop,78.492,USA
Jimin,Who (Acoustic Remix),K-Pop,184.076,USA
Jimin,Who (Rock Remix),K-Pop,171.995,USA
Jimin,Who (Funky Remix),K-Pop,188.498,USA
Jimin,Who (Shibuyakei Remix),K-Pop,166.809,USA
"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),K-Pop,202.046,USA
"Kendrick Lamar, SZA",luther (with sza),Hip-Hop/Rap,177.599,USA
Jin,I’ll Be There,K-Pop,181.678,USA
Jimin,Who (Beautiful Mind Remix),K-Pop,177.954,USA
Jimin,Who (Instrumental),K-Pop,170.888,USA
Jimin,Like Crazy,K-Pop,212.241,USA
"Lady Gaga, Bruno Mars",Die With A Smile,Pop,251.668,USA
Jung Kook,Standing Next to You,K-Pop,206.02,USA
DAY6,HAPPY,K-Pop,189.934,USA
BABYMONSTER,DRIP,Dance,180.846,USA
ILLIT,Magnetic,K-Pop,160.688,USA
aespa,UP - KARINA Solo,K-Pop,166.64,USA
G-DRAGON,CROOKED,K-Pop,255.747,USA
G-DRAGON,POWER,K-Pop,143.242,USA
G-DRAGON,"무제(無題) (Untitled, 2014)",K-Pop,222.868,USA
Billie Eilish,BIRDS OF A FEATHER,Alternative,210.373,USA
ILLIT,Cherish (My Love),K-Pop,176.854,USA
aespa,Supernova,K-Pop,178.88,USA
BIGBANG,BANG BANG BANG,K-Pop,220.178,USA
Lim Young Woong,Warmth,K-Pop,235.053,USA
DAY6,한 페이지가 될 수 있게 Time of Our Life,K-Pop,205.576,USA
Lim Young Woong,Home,K-Pop,235.333,USA
Lim Young Woong,Grain of Sand,K-Pop,220.313,USA
NewJeans,Supernatural,J-Pop,191.0,USA
KISS OF LIFE,Igloo,K-Pop,131.787,USA
ROSÉ,number one girl,Pop,216.443,USA
Lim Young Woong,Do or Die,K-Pop,205.44,USA
NewJeans,How Sweet,K-Pop,219.027,USA
fromis_9,Supersonic,K-Pop,174.147,USA
QWER,My Name is Malguem,K-Pop,188.32,USA
Lim Young Woong,London Boy,Rock,244.5,USA
"HAON, GISELLE",Skrr (feat. GISELLE),K-Pop,219.2,USA
BIGBANG,Still Life,K-Pop,188.369,USA
ILLIT,Tick-Tack,K-Pop,129.469,USA
WOODZ,Drowning,K-Pop,244.987,USA
aespa,Armageddon,K-Pop,196.467,USA
NewJeans,Ditto,K-Pop,185.507,USA
BUMJIN,A Letter,K-Pop,215.76,USA
"V, Bing Crosby",White Christmas (with V of BTS),Holiday,183.613,USA
d4vd,Here With Me,Alternative,242.485,USA
LE SSERAFIM,CRAZY,K-Pop,164.554,USA
DAY6,Welcome to the Show,K-Pop,217.068,USA
Lim Young Woong,Polaroid,Rock,206.4,USA
ILLIT,Lucky Girl Syndrome,K-Pop,140.021,USA
Hwang Karam,I`m Firefly,,,
Lim Young Woong,If We Ever Meet Again,K-Pop,274.375,USA
DAY6,예뻤어 You Were Beautiful,K-Pop,283.16,USA
BIGBANG,LAST DANCE,K-Pop,279.656,USA
BIGBANG,Fantastic Baby,K-Pop,230.573,USA
JAESSBEE,Every Moment With You,K-Pop,172.28,USA
JENNIE,Mantra,Pop,136.627,USA
NewJeans,Hype Boy,K-Pop,179.027,USA
BIGBANG,Blue,K-Pop,233.099,USA
Jimin,Like Crazy (English Version),K-Pop,212.254,USA
Bruno Mars,That's What I Like,Pop,206.697,USA
DAY6,Congratulations,K-Pop,229.293,USA
TWS,plot twist,K-Pop,152.4,USA
BIGBANG,Sunset Glow,K-Pop,204.92,USA
"Jin, WENDY",Heart on the Window (with WENDY),K-Pop,177.093,USA
ROSÉ,drinks or coffee,Pop,133.113,USA
V,FRI(END)S,K-Pop,148.082,USA
SZA,BMF,R&B/Soul,180.747,USA
V,Love Me Again,K-Pop,182.293,USA
aespa,Drama,K-Pop,214.973,USA
BIGBANG,Haru Haru,K-Pop,256.36,USA
QWER,T.B.H,K-Pop,175.88,USA
NewJeans,OMG,K-Pop,212.253,USA
Lim Young Woong,Rainbow,K-Pop,196.4,USA
Lim Young Woong,"Our Blues, Our Life",K-Pop,207.387,USA
RIIZE,Boom Boom Bass,K-Pop,152.89,USA
"Car, the garden",Closely Far Away,K-Pop,194.547,USA
RIIZE,Get A Guitar,K-Pop,160.372,USA
SZA,Kill Bill,R&B/Soul,153.947,USA
"YANGHONGWON, Kid Milli, NO:EL, ksmartboi, Swings","Ballin (Feat. Kid Milli, NO:EL, Ksmartboi, Swings)",,,
Yoon Do Hyun,사랑했나봐,Rock,238.88,USA
yung kai,blue,Alternative,214.357,USA
Jin,Another Level,K-Pop,162.834,USA
Sabrina Carpenter,Espresso,Pop,175.459,USA
NewJeans,Bubble Gum,K-Pop,200.267,USA
Stray Kids,"그렇게, 천천히, 우리 (승민) As we are (Seungmin)",K-Pop,213.573,USA
"ZICO, JENNIE",SPOT!,K-Pop,167.707,USA
Taylor Swift,Cruel Summer,Pop,178.426,USA
고추잠자리,너라는 별,Pop,177.093,USA
NewJeans,ETA,K-Pop,151.373,USA
Lim Young Woong,A bientot,K-Pop,256.373,USA
Lim Young Woong,Love Always Run Away,Soundtrack,242.76,USA
LEECHANGSUB,Heavenly fate,K-Pop,271.173,USA
NewJeans,New Jeans,K-Pop,108.987,USA
Baek A,Amor,Folk,188.942,USA
Vaundy,踊り子,Rock,229.328,USA
NewJeans,Super Shy,K-Pop,154.667,USA
BIGBANG,LET'S NOT FALL IN LOVE,K-Pop,211.927,USA
Tommy Richman,MILLION DOLLAR BABY,Hip-Hop/Rap,155.152,USA
BIGBANG,SOBER,K-Pop,237.513,USA
EXO,The First Snow,Holiday,207.74,USA
KISS OF LIFE,Sticky,K-Pop,157.12,USA
Nerd Connection,If I have you only (My love X Nerd Connection),Hip-Hop/Rap,118.72,USA
데이먼스 이어 Damons year,yours,Singer/Songwriter,165.229,USA
LE SSERAFIM,Perfect Night,K-Pop,159.08,USA
Lim Young Woong,A Psalm of Life,K-Pop,233.36,USA
BIGBANG,IF YOU,K-Pop,264.216,USA
DAY6,녹아내려요 Melt Down,K-Pop,165.587,USA
BIGBANG,FLOWER ROAD,K-Pop,228.632,USA
LE SSERAFIM,EASY,K-Pop,164.545,USA
The Black Skirts,EVERYTHING,Indie Rock,293.0,USA
Jin,Falling,J-Pop,178.832,USA
G-DRAGON,WHO YOU?,Hip-Hop/Rap,201.429,USA
Frank Ocean,Pink + White,Pop,184.516,USA
