날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(Hr),불쾌지수,날씨
2025-01-01,2.6,8.9,-2.5,0.0,0.0,2.2,64,2.6,5.6,40.9,구름조금
2025-01-02,0.5,6.0,-2.9,0.0,0.0,2.1,49,0.8,9.0,39.94,맑음
2025-01-03,-1.1,3.2,-5.1,0.0,0.0,2.3,52,3.1,7.7,37.41,구름조금/눈
2025-01-04,-0.1,5.7,-5.4,0.0,0.0,1.7,50,1.4,7.9,39.02,맑음
2025-01-05,1.2,2.5,-0.7,6.7,6.4,2.4,85,9.4,0.0,36.13,흐림/눈/안개
2025-01-06,1.0,3.4,-3.0,3.0,0.0,2.9,76,6.2,2.3,36.99,구름많음/비
2025-01-07,-2.6,1.5,-5.7,0.1,0.4,2.8,54,2.0,7.0,35.08,맑음/눈/비
2025-01-08,-3.4,0.2,-6.1,0.0,0.0,2.7,55,3.6,4.9,33.83,구름조금/눈
2025-01-09,-9.7,-6.1,-11.6,0.0,0.0,4.0,38,0.1,8.5,29.36,맑음/눈
2025-01-10,-7.3,-1.7,-12.2,0.0,0.0,1.6,48,1.5,9.2,30.05,맑음
2025-01-11,-5.1,0.4,-9.5,0.0,0.0,1.7,57,0.0,9.1,31.14,맑음
2025-01-12,-3.4,2.5,-8.2,0.0,0.0,1.8,60,0.8,7.7,32.95,맑음
2025-01-13,-0.4,4.1,-5.6,1.3,0.1,1.9,77,6.1,2.2,34.66,구름많음/눈/안개/진눈개비
2025-01-14,2.3,5.2,-1.7,0.1,0.0,2.3,72,5.0,2.3,39.51,구름조금/안개/진눈개비
2025-01-15,-3.5,-0.5,-5.3,0.0,0.0,2.8,41,1.0,9.2,36.18,맑음
2025-01-16,-0.5,2.8,-4.9,0.0,0.0,2.0,65,6.8,0.2,36.28,구름많음
2025-01-17,-0.5,5.6,-4.9,0.0,0.0,1.8,62,0.0,9.0,36.72,맑음
2025-01-18,1.0,7.5,-4.0,0.0,0.0,1.6,54,2.2,7.9,39.92,맑음
