날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(Hr),날씨
2025년01월01일 (수),2.6,8.9,-2.5,-,0.0,2.2,64,2.6,5.6,구름조금
2025년01월02일 (목),0.5,6.0,-2.9,-,0.0,2.1,49,0.8,9.0,맑음
2025년01월03일 (금),-1.1,3.2,-5.1,0.0,0.0,2.3,52,3.1,7.7,구름조금/눈
2025년01월04일 (토),-0.1,5.7,-5.4,-,0.0,1.7,50,1.4,7.9,맑음
2025년01월05일 (일),1.2,2.5,-0.7,6.7,6.4,2.4,85,9.4,0.0,흐림/눈/안개
2025년01월06일 (월),1.0,3.4,-3.0,3.0,0.0,2.9,76,6.2,2.3,구름많음/비
2025년01월07일 (화),-2.6,1.5,-5.7,0.1,0.4,2.8,54,2.0,7.0,맑음/눈/비
2025년01월08일 (수),-3.4,0.2,-6.1,0.0,0.0,2.7,55,3.6,4.9,구름조금/눈
2025년01월09일 (목),-9.7,-6.1,-11.6,0.0,0.0,4.0,38,0.1,8.5,맑음/눈
2025년01월10일 (금),-7.3,-1.7,-12.2,-,0.0,1.6,48,1.5,9.2,맑음
2025년01월11일 (토),-5.1,0.4,-9.5,-,0.0,1.7,57,0.0,9.1,맑음
2025년01월12일 (일),-3.4,2.5,-8.2,-,0.0,1.8,60,0.8,7.7,맑음
2025년01월13일 (월),-0.4,4.1,-5.6,1.3,0.1,1.9,77,6.1,2.2,구름많음/눈/안개/진눈개비
2025년01월14일 (화),2.3,5.2,-1.7,0.1,0.0,2.3,72,5.0,2.3,구름조금/안개/진눈개비
2025년01월15일 (수),-3.5,-0.5,-5.3,-,0.0,2.8,41,1.0,9.2,맑음
2025년01월16일 (목),-0.5,2.8,-4.9,0.0,0.0,2.0,65,6.8,0.2,구름많음
2025년01월17일 (금),-0.5,5.6,-4.9,-,0.0,1.8,62,0.0,9.0,맑음
2025년01월18일 (토),1.0,7.5,-4.0,-,0.0,1.6,54,2.2,7.9,맑음
2025년01월19일 (일),3.8,9.0,-1.2,-,0.0,1.9,65,7.4,3.7,구름많음
2025년01월20일 (월),3.9,7.5,0.9,0.0,0.0,1.6,73,4.8,3.8,구름조금
2025년01월21일 (화),2.4,6.3,-1.0,-,0.0,1.5,80,2.2,6.4,맑음
2025년01월22일 (수),3.6,7.7,0.5,-,0.0,1.9,70,3.4,5.5,구름조금
2025년01월23일 (목),1.9,7.7,-2.4,-,0.0,1.7,54,0.0,9.3,맑음
2025년01월24일 (금),3.1,10.6,-2.7,-,0.0,1.5,46,0.0,9.4,맑음
2025년01월25일 (토),5.2,11.4,1.2,-,0.0,3.2,53,1.1,7.7,맑음
2025년01월26일 (일),4.6,7.5,1.8,-,0.0,2.9,51,8.0,1.9,구름많음
2025년01월27일 (월),0.2,5.1,-2.7,5.6,2.6,3.4,78,9.2,1.2,흐림/눈
2025년01월28일 (화),-3.9,-2.5,-5.3,0.1,0.4,4.1,71,8.4,0.6,구름많음/눈
2025년01월29일 (수),-4.6,-1.3,-6.4,0.2,1.0,3.1,66,4.2,6.7,구름조금/눈
2025년01월30일 (목),-3.8,-1.0,-7.5,-,0.0,1.6,47,6.6,2.7,구름많음
2025년01월31일 (금),-0.8,0.7,-2.6,2.4,2.9,2.0,80,9.4,0.0,흐림/눈
2025년02월01일 (토),1.6,7.9,-2.0,-,0.0,1.6,74,4.2,7.3,구름조금
2025년02월02일 (일),1.5,6.8,-2.5,0.0,0.0,2.1,67,3.5,7.8,구름조금
2025년02월03일 (월),-4.1,0.6,-8.2,-,0.0,4.3,49,0.0,9.6,맑음
2025년02월04일 (화),-9.0,-5.3,-11.5,-,0.0,3.8,51,0.0,9.7,맑음
2025년02월05일 (수),-8.7,-3.7,-11.8,-,0.0,3.4,49,2.0,6.8,맑음
2025년02월06일 (목),-5.6,-0.2,-11.5,2.3,3.3,1.6,60,3.1,5.9,구름조금/눈
2025년02월07일 (금),-8.0,-4.7,-10.7,0.4,0.7,3.9,60,3.5,7.6,구름조금/눈
2025년02월08일 (토),-7.9,-3.4,-11.5,-,0.0,2.7,55,0.0,9.6,맑음
2025년02월09일 (일),-4.7,1.7,-9.6,-,0.0,2.2,64,0.2,9.4,맑음
2025년02월10일 (월),-2.6,2.6,-7.5,0.0,0.0,2.3,61,1.2,7.2,맑음
2025년02월11일 (화),0.5,7.0,-5.7,-,0.0,2.1,60,2.1,9.4,맑음
2025년02월12일 (수),0.5,2.5,-2.9,2.5,2.1,2.6,76,7.5,0.0,구름많음/눈
2025년02월13일 (목),0.2,6.1,-5.8,-,0.0,2.2,53,0.0,9.6,맑음
2025년02월14일 (금),3.7,10.1,-1.6,-,0.0,2.0,67,1.5,9.5,맑음
2025년02월15일 (토),4.1,7.8,0.4,-,0.0,1.7,77,5.4,0.9,구름조금
2025년02월16일 (일),4.3,9.7,0.4,-,0.0,2.5,76,5.0,3.4,구름조금
2025년02월17일 (월),-0.3,3.5,-3.4,-,0.0,3.6,39,0.2,9.9,맑음
2025년02월18일 (화),-2.3,2.6,-5.2,-,0.0,3.3,40,0.0,9.9,맑음
2025년02월19일 (수),-3.0,1.2,-5.8,-,0.0,3.0,45,0.0,10.0,맑음
2025년02월20일 (목),-2.9,1.9,-6.5,-,0.0,2.7,43,0.0,10.0,맑음
2025년02월21일 (금),-2.5,2.6,-6.4,-,0.0,2.8,45,0.2,10.1,맑음
2025년02월22일 (토),-2.3,2.7,-5.6,-,0.0,2.5,49,0.0,10.2,맑음
2025년02월23일 (일),-3.6,0.5,-6.5,-,0.0,3.0,45,0.2,10.1,맑음
2025년02월24일 (월),-1.3,4.7,-6.3,-,0.0,2.3,50,0.0,10.3,맑음
2025년02월25일 (화),2.1,6.1,-3.1,-,0.0,2.9,73,4.8,5.4,구름조금
2025년02월26일 (수),3.7,9.1,0.7,-,0.0,2.5,49,1.4,9.6,맑음
2025년02월27일 (목),5.8,14.2,-2.0,-,0.0,1.8,29,2.0,10.0,맑음
2025년02월28일 (금),7.8,13.7,3.7,-,0.0,1.4,52,3.9,3.4,구름조금
2025년03월01일 (토),8.5,13.0,3.4,0.6,0.0,2.0,69,7.4,1.7,구름많음/비
2025년03월02일 (일),8.3,15.6,2.2,11.8,0.0,3.8,68,9.8,0.4,흐림/비
2025년03월03일 (월),3.1,7.1,1.0,10.4,1.1,6.2,64,7.5,6.6,구름많음/눈
2025년03월04일 (화),2.5,3.4,0.9,4.0,3.4,4.7,68,9.2,0.6,흐림/눈
2025년03월05일 (수),4.8,9.2,2.3,0.0,0.0,2.2,63,6.6,1.6,구름많음
2025년03월06일 (목),4.8,10.4,-0.4,0.0,0.0,2.4,55,0.4,10.5,맑음
